time,y,x,spatial_ref,B04
2021-01-11 10:23:09.024,2524325.0,4211915.0,3035,16
2021-01-14 10:33:09.024,2524325.0,4211915.0,3035,1
2021-01-16 10:23:51.024,2524325.0,4211915.0,3035,458
2021-01-19 10:33:51.024,2524325.0,4211915.0,3035,26
2021-01-24 10:32:29.024,2524325.0,4211915.0,3035,4384
2021-01-26 10:23:11.024,2524325.0,4211915.0,3035,1
2021-01-29 10:33:01.024,2524325.0,4211915.0,3035,2362
2021-01-31 10:21:49.024,2524325.0,4211915.0,3035,209
2021-02-08 10:32:01.024,2524325.0,4211915.0,3035,1
2021-02-15 10:21:21.024,2524325.0,4211915.0,3035,30
2021-02-23 10:29:29.024,2524325.0,4211915.0,3035,430
2021-02-25 10:20:21.024,2524325.0,4211915.0,3035,208
2021-02-28 10:30:21.024,2524325.0,4211915.0,3035,116
2021-03-02 10:18:39.025,2524325.0,4211915.0,3035,74
2021-03-05 10:28:09.024,2524325.0,4211915.0,3035,235
2021-03-07 10:20:21.024,2524325.0,4211915.0,3035,128
2021-03-10 10:30:21.024,2524325.0,4211915.0,3035,220
2021-03-15 10:27:09.024,2524325.0,4211915.0,3035,96
2021-03-17 10:20:21.024,2524325.0,4211915.0,3035,1122
2021-03-20 10:30:21.024,2524325.0,4211915.0,3035,105
2021-03-22 10:16:49.024,2524325.0,4211915.0,3035,33
2021-03-25 10:26:39.024,2524325.0,4211915.0,3035,313
2021-03-27 10:20:21.024,2524325.0,4211915.0,3035,9816
2021-03-30 10:30:21.024,2524325.0,4211915.0,3035,122
2021-04-01 10:15:59.024,2524325.0,4211915.0,3035,177
2021-04-04 10:25:59.024,2524325.0,4211915.0,3035,63
2021-04-06 10:20:21.025,2524325.0,4211915.0,3035,97
2021-04-09 10:30:21.024,2524325.0,4211915.0,3035,1030
2021-04-14 10:25:59.024,2524325.0,4211915.0,3035,98
2021-04-16 10:20:21.024,2524325.0,4211915.0,3035,361
2021-04-19 10:30:21.024,2524325.0,4211915.0,3035,419
2021-04-24 10:25:49.024,2524325.0,4211915.0,3035,279
2021-05-06 10:20:21.024,2524325.0,4211915.0,3035,1894
2021-05-14 10:25:59.025,2524325.0,4211915.0,3035,108
2021-05-19 10:30:21.024,2524325.0,4211915.0,3035,573
2021-05-21 10:15:59.024,2524325.0,4211915.0,3035,243
2021-05-26 10:20:21.024,2524325.0,4211915.0,3035,126
2021-05-29 10:30:21.024,2524325.0,4211915.0,3035,287
2021-05-31 10:15:59.024,2524325.0,4211915.0,3035,116
2021-06-03 10:25:59.024,2524325.0,4211915.0,3035,101
2021-06-05 10:20:21.024,2524325.0,4211915.0,3035,2236
2021-06-08 10:30:21.024,2524325.0,4211915.0,3035,1796
2021-06-10 10:15:59.024,2524325.0,4211915.0,3035,59
2021-06-13 10:25:59.024,2524325.0,4211915.0,3035,820
2021-06-15 10:20:21.024,2524325.0,4211915.0,3035,2162
2021-06-18 10:30:21.024,2524325.0,4211915.0,3035,281
2021-06-23 10:25:59.024,2524325.0,4211915.0,3035,1058
2021-06-25 10:20:21.024,2524325.0,4211915.0,3035,8
2021-06-30 10:15:59.024,2524325.0,4211915.0,3035,118
2021-07-05 10:20:31.024,2524325.0,4211915.0,3035,112
2021-07-08 10:30:31.024,2524325.0,4211915.0,3035,937
2021-07-10 10:15:59.024,2524325.0,4211915.0,3035,157
2021-07-13 10:25:59.024,2524325.0,4211915.0,3035,4808
2021-07-18 10:30:31.024,2524325.0,4211915.0,3035,462
2021-07-20 10:15:59.024,2524325.0,4211915.0,3035,157
2021-07-23 10:25:59.024,2524325.0,4211915.0,3035,271
2021-07-25 10:20:31.024,2524325.0,4211915.0,3035,957
2021-08-02 10:25:59.024,2524325.0,4211915.0,3035,85
2021-08-09 10:15:59.024,2524325.0,4211915.0,3035,218
2021-08-12 10:25:59.025,2524325.0,4211915.0,3035,331
2021-08-14 10:20:31.024,2524325.0,4211915.0,3035,66
2021-08-17 10:30:21.024,2524325.0,4211915.0,3035,208
2021-08-19 10:15:59.024,2524325.0,4211915.0,3035,2040
2021-08-24 10:20:31.024,2524325.0,4211915.0,3035,37
2021-08-27 10:30:21.024,2524325.0,4211915.0,3035,182
2021-08-29 10:15:59.024,2524325.0,4211915.0,3035,14
2021-09-01 10:25:59.024,2524325.0,4211915.0,3035,48
2021-09-03 10:20:21.024,2524325.0,4211915.0,3035,137
2021-09-06 10:30:21.024,2524325.0,4211915.0,3035,121
2021-09-08 10:15:59.025,2524325.0,4211915.0,3035,8112
2021-09-11 10:25:59.024,2524325.0,4211915.0,3035,85
2021-09-13 10:20:21.025,2524325.0,4211915.0,3035,226
2021-09-18 10:16:39.024,2524325.0,4211915.0,3035,379
